Occupation Level,Skill Level,Occupation Code,Occupation,"Employment level
May 2018 ('000)","Projected employment level
May 2023 ('000)","Projected employment growth 
five years to May 2023 - ('000)","Projected employment growth 
five years to May 2023 - (%)",,,,,,,,,
4,2,1493,Conference and Event Organisers,39.8,44.9,5.0,12.6,,,,,,,,,
4,2,1494,Transport Services Managers,16.0,16.7,0.7,4.6,,,,,,,,,
4,2,1499,"Other Hospitality, Retail and Service Managers",74.7,80.2,5.5,7.3,,,,,,,,,
4,2,1490,"Miscellaneous Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,0.0,,,,,,,,,
3, ,140,"Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,0.0,,,,,,,,,
4,2,1400,"Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,0.0,,,,,,,,,
2, ,10,Managers nfd,5.3,5.3,0.0,0.0,,,,,,,,,
3,,100,Managers nfd,5.3,5.3,0.0,0.0,,,,,,,,,
4,"1,2",1000,Managers nfd,5.3,5.3,0.0,0.0,,,,,,,,,
1, ,2,PROFESSIONALS,2993.4,3319.2,325.8,10.9,,,,,,,,,
2, ,21,Arts and Media Professionals,105.3,109.5,4.2,4.0,,,,,,,,,
3, ,211,Arts Professionals,46.0,47.8,1.8,4.0,,,,,,,,,
4,1,2111,"Actors, Dancers and Other Entertainers",8.7,9.4,0.7,8.2,,,,,,,,,
4,1,2112,Music Professionals,12.4,12.3,-0.1,-0.9,,,,,,,,,
4,1,2113,Photographers,13.6,14.3,0.7,5.2,,,,,,,,,
4,1,2114,Visual Arts and Crafts Professionals,10.0,10.4,0.4,4.1,,,,,,,,,
4,1,2110,Arts Professionals nfd,3.6,3.7,0.1,3.3,,,,,,,,,
3, ,212,Media Professionals,58.7,61.1,2.4,4.1,,,,,,,,,
4,1,2121,"Artistic Directors, and Media Producers and Presenters",9.3,8.2,-1.1,-12.2,,,,,,,,,
4,1,2122,"Authors, and Book and Script Editors",7.5,8.6,1.1,14.8,,,,,,,,,
4,1,2123,"Film, Television, Radio and Stage Directors",17.0,19.0,2.0,11.8,,,,,,,,,
4,1,2124,Journalists and Other Writers,23.6,23.9,0.4,1.6,,,,,,,,,
4,1,2120,Media Professionals nfd,0.9,1.0,0.0,4.7,,,,,,,,,
3, ,210,Arts and Media Professionals nfd,0.1,0.1,0.0,6.8,,,,,,,,,
4,1,2100,Arts and Media Professionals nfd,0.1,0.1,0.0,6.8,,,,,,,,,
2, ,22,"Business, Human Resource and Marketing Professionals",722.7,779.7,57.0,7.9,,,,,,,,,
3, ,221,"Accountants, Auditors and Company Secretaries",217.9,227.9,10.0,4.6,,,,,,,,,
4,1,2211,Accountants,199.2,207.2,8.0,4.0,,,,,,,,,
4,1,2212,"Auditors, Company Secretaries and Corporate Treasurers",20.6,22.6,2.1,10.1,,,,,,,,,
4,1,2210,"Accountants, Auditors and Company Secretaries nfd",0.8,0.7,-0.1,-7.7,,,,,,,,,
3, ,222,"Financial Brokers and Dealers, and Investment Advisers",97.1,104.1,7.1,7.3,,,,,,,,,
4,2,2221,Financial Brokers,36.7,43.9,7.2,19.7,,,,,,,,,
4,1,2222,Financial Dealers,18.1,18.4,0.3,1.6,,,,,,,,,
4,1,2223,Financial Investment Advisers and Managers,43.5,43.1,-0.4,-1.0,,,,,,,,,
4,"1,2",2220,"Financial Brokers and Dealers, and Investment Advisers nfd",0.3,0.3,0.0,0.0,,,,,,,,,
3, ,223,Human Resource and Training Professionals,96.8,101.7,4.8,5.0,,,,,,,,,
4,1,2231,Human Resource Professionals,63.9,70.8,6.9,10.8,,,,,,,,,
4,1,2232,ICT Trainers,5.2,4.7,-0.5,-9.4,,,,,,,,,
4,1,2233,Training and Development Professionals,27.5,25.9,-1.6,-5.9,,,,,,,,,
4,1,2230,Human Resource and Training Professionals nfd,0.1,0.1,0.0,-5.0,,,,,,,,,
3, ,224,Information and Organisation Professionals,164.2,190.6,26.4,16.1,,,,,,,,,
4,1,2241,"Actuaries, Mathematicians and Statisticians",8.1,8.7,0.6,7.8,,,,,,,,,
4,1,2242,"Archivists, Curators and Records Managers",5.6,5.4,-0.2,-4.0,,,,,,,,,
4,1,2243,Economists,6.3,6.7,0.4,5.8,,,,,,,,,
4,1,2244,Intelligence and Policy Analysts,29.5,40.2,10.7,36.3,,,,,,,,,
4,1,2245,Land Economists and Valuers,10.0,10.5,0.6,5.8,,,,,,,,,
4,1,2246,Librarians,15.4,16.4,1.0,6.4,,,,,,,,,
4,1,2247,Management and Organisation Analysts,64.2,70.8,6.6,10.3,,,,,,,,,
4,1,2249,Other Information and Organisation Professionals,26.3,33.0,6.7,25.5,,,,,,,,,
4,1,2240,Information and Organisation Professionals nfd,0.1,0.1,0.0,16.0,,,,,,,,,
3, ,225,"Sales, Marketing and Public Relations Professionals",146.5,155.2,8.7,5.9,,,,,,,,,
4,1,2251,Advertising and Marketing Professionals,74.8,84.1,9.3,12.5,,,,,,,,,
